CustomerID,frequency_cal,monetary_sum,total_quantity,unique_categories,avg_discount,coupon_usage_rate,total_delivery_fee,total_offline,total_online,total_marketing,Tenure_Months,recency_cal,T_cal,monetary_avg,avg_order_interval,freq_last30,spend_last30,qty_last30,purchase_momentum,spend_momentum,Gender_M,Location_Chicago,Location_New Jersey,Location_New York,Location_Washington Dc,KMeans_Label_1,KMeans_Label_2,KMeans_Label_3,future_orders,Churn,Churn_Probability,Churn_Segment,Revenue_At_Risk,Retention_Priority
12748,34,78655.491,4869,17,0.06863309352517986,0.36258992805755397,8510.9,2059500,1182404.71,3241904.71,28,17,267,2247.2997428571425,7.628571428571429,2.0,677.848,11.0,0.05714285714285714,0.008617826594883313,False,True,False,False,False,False,False,True,0.0,1,0.77,Medium Risk,60564.72807,72677.673684
15311,16,63840.276,3598,16,0.0638755980861244,0.33014354066985646,3505.65,1194500,845752.98,2040252.98,40,10,273,3755.3103529411765,16.058823529411764,3.0,7951.87,170.0,0.17647058823529413,0.1245568775912311,False,True,False,False,False,False,False,True,91.0,0,0.51,Medium Risk,32558.54076,39070.248911999995
17850,10,36683.62,1133,15,0.030303030303030304,0.3063973063973064,3162.62,793000,390789.28,1183789.28,12,249,274,3334.8745454545456,24.90909090909091,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,True,0.0,1,0.875,High Risk,32098.167500000003,32098.167500000003
14667,7,27112.247,1573,13,0.05654761904761905,0.35119047619047616,1334.58,521500,278569.15,800069.15,30,20,203,3389.030875,25.375,1.0,933.154,116.0,0.125,0.034416903294540856,False,False,False,False,False,False,False,False,0.0,1,0.82,High Risk,22232.04254,22232.04254
17841,16,40260.238,2259,16,0.06943866943866944,0.34511434511434513,6945.2300000000005,1244500,864774.75,2109274.75,21,6,264,2368.249294117647,15.529411764705882,3.0,3027.169,294.0,0.17647058823529413,0.07518817478985619,True,False,False,False,False,False,False,True,47.0,0,0.435,Medium Risk,17513.20353,21015.844235999997
18118,5,21861.449,1230,15,0.0684,0.308,4098.68,766500,585627.72,1352127.72,24,16,229,3643.5748333333336,38.166666666666664,2.0,8332.185,256.0,0.3333333333333333,0.38111855629714675,True,True,False,False,False,False,False,False,0.0,1,0.825,High Risk,18035.695424999998,18035.695424999998
14646,9,22032.541,781,17,0.05517241379310345,0.3448275862068966,1886.9,810500,493294.45,1303794.45,45,0,89,2203.2541,8.9,4.0,13001.936,300.0,0.4,0.5900974337261541,True,False,False,False,False,False,False,False,0.0,1,0.815,High Risk,17956.520915,17956.520915
14911,20,37149.783,1385,17,0.055968169761273216,0.35278514588859416,5949.63,1101000,675127.32,1776127.32,34,4,264,1769.0372857142859,12.571428571428571,2.0,1802.329,337.0,0.09523809523809523,0.04851389000334124,False,False,False,False,False,False,False,True,81.0,0,0.4,Medium Risk,14859.913200000003,17831.89584
15351,2,20887.982,2160,8,0.052830188679245285,0.2641509433962264,558.37,159000,48094.06,207094.06,29,230,233,6962.660666666667,77.66666666666667,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,0.0,1,0.82,High Risk,17128.145239999998,17128.145239999998
12433,3,17418.691,1494,10,0.031292517006802724,0.3197278911564626,3949.08,587000,210099.93,797099.9299999999,32,175,266,4354.67275,66.5,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,0.0,1,0.735,Medium Risk,12802.737884999999,15363.285461999998
